"date","n"
2021-03-17,13000
2021-03-17,13000
2021-03-21,4000
2021-03-17,13000
2021-03-21,5624
2021-03-22,14376
2021-03-17,13000
2021-03-21,5624
2021-03-22,15800
2021-03-23,14576
2021-03-17,13000
2021-03-21,5624
2021-03-22,15800
2021-03-23,16403
2021-03-24,14173
2021-03-17,13000
2021-03-21,5624
2021-03-22,15800
2021-03-23,16403
2021-03-24,15468
2021-03-25,14705
2021-03-17,13000
2021-03-21,5624
2021-03-22,15800
2021-03-23,16403
2021-03-24,15468
2021-03-25,16177
2021-03-26,14528
2021-03-17,13000
2021-03-21,5624
2021-03-22,15800
2021-03-23,16403
2021-03-24,15468
2021-03-25,16177
2021-03-26,15834
2021-03-27,14694
2021-03-17,13000
2021-03-21,5624
2021-03-22,15800
2021-03-23,16403
2021-03-24,15468
2021-03-25,16177
2021-03-26,15834
2021-03-27,14694
2021-03-28,16000
